Name,결과/메모,날짜,대상,목적,유형,자료 – PDF,자료 – 대본 링크
,,,,,,,
JEMI 디딤돌 – 중간발표,,"August 7, 2025",JEMI 디딤돌 (제주콘텐츠진흥원),중간 성과 보고 및 피드백 수렴,피치덱 발표,,
스타트업베이 – 최종발표 (예정),,"December 15, 2025",스타트업베이 (서귀포),최종 성과 및 결과 발표,피치덱 발표,,
청년창업사관학교 – 서류합격 후 발표,,"March 11, 2025",청년창업사관학교 (제주),선발 심사용 초기 IR 발표,피치덱 발표,,
청년창업사관학교 – 최종발표 (예정),,"December 2, 2025",청년창업사관학교 (제주),최종 성과 및 향후 계획 발표,피치덱 발표,,
JEMI 디딤돌 – 최종발표,,"November 11, 2025",JEMI 디딤돌 (제주콘텐츠진흥원),최종평가 및 결과 발표,피치덱 발표,,
스타트업베이 – Level-up 임팩트 IR 데모데이,,"August 19, 2025",스타트업베이 (서귀포),임팩트 IR 데모데이 발표,피치덱 발표,,
청년창업사관학교 – 중간발표,,"August 5, 2025",청년창업사관학교 (제주),중간 성과 및 진행 현황 보고,피치덱 발표,,
스타트업베이 – 발표평가,,"March 5, 2025",스타트업베이 (서귀포),선발 심사용 IR 발표,피치덱 발표,,
JEMI 디딤돌 – 서류합격 후 발표,,"April 10, 2025",JEMI 디딤돌 (제주콘텐츠진흥원),선발 심사용 IR 발표,피치덱 발표,,
