Name,Action Date,Assigned to,Created time,Description,Files,Last edited time,Priority,Project Active,Project Status (rollup),Projects,Status,Time,URL,Valid (AI rule)
리크루팅 사이트) 원택님 피드백 반영,,김은향,"November 24, 2025 2:46 PM",원택님 피드백을 바탕으로 사이드프로젝트 리크루팅 노션 페이지/사이트 구조와 카피를 수정한다.,,"December 14, 2025 4:31 PM",Low,No,시작 전,사이드프로젝트 리크루팅 사이트 제작 (https://www.notion.so/b475ff69a4a9463483a5d654379b8284?pvs=21),Not started,오후,,
12/17: 본펀딩 공개,"December 17, 2025",,"November 25, 2025 1:23 PM",,,"December 7, 2025 11:09 PM",,Yes,진행 중,[와디즈] 12주 코칭 습관팩 런칭 (https://www.notion.so/12-d800760bcda44670adaf7764cfdcbcf9?pvs=21),Not started,오후,,
12/31: 펀딩 종료,"December 31, 2025",,"November 25, 2025 1:23 PM",,,"December 7, 2025 11:09 PM",,Yes,진행 중,[와디즈] 12주 코칭 습관팩 런칭 (https://www.notion.so/12-d800760bcda44670adaf7764cfdcbcf9?pvs=21),Not started,오후,,
11/25: 오픈예정 공개,"November 26, 2025",,"November 25, 2025 1:23 PM",,,"November 30, 2025 1:25 PM",,Yes,진행 중,[와디즈] 12주 코칭 습관팩 런칭 (https://www.notion.so/12-d800760bcda44670adaf7764cfdcbcf9?pvs=21),Not started,,,
"11/22: 심사 통과, 광고 소재 제작 (크)","November 22, 2025",,"November 25, 2025 1:23 PM",,,"November 25, 2025 2:36 PM",,Yes,진행 중,[와디즈] 12주 코칭 습관팩 런칭 (https://www.notion.so/12-d800760bcda44670adaf7764cfdcbcf9?pvs=21),Not started,,,
꼭꼭 앱 1년 구독권 QA,"December 24, 2025",김은향,"November 26, 2025 1:23 AM",꼭꼭 앱 1년 구독권이 정상 결제/적용/연장되는지 QA 진행,,"December 7, 2025 3:46 PM",High,Yes,진행 중,[와디즈] 12주 코칭 습관팩 런칭 (https://www.notion.so/12-d800760bcda44670adaf7764cfdcbcf9?pvs=21),Not started,오후,,
꼭꼭FIT 음식편향테스트 특정 주차에 노출,"December 26, 2025",김은향,"November 26, 2025 1:23 AM",꼭꼭FIT 커리큘럼 중 특정 주차에 음식 편향 테스트가 자동 노출되도록 로직/화면 연결,,"December 16, 2025 11:25 PM",High,Yes,진행 중,[와디즈] 12주 코칭 습관팩 런칭 (https://www.notion.so/12-d800760bcda44670adaf7764cfdcbcf9?pvs=21),Not started,오후,,
꼭꼭FIT+꼭꼭 앱 로그인 통합,"December 16, 2025",김은향,"November 26, 2025 1:23 AM",꼭꼭FIT와 꼭꼭 앱의 로그인을 1계정으로 통합하는 작업,,"December 9, 2025 12:03 AM",High,Yes,진행 중,[와디즈] 12주 코칭 습관팩 런칭 (https://www.notion.so/12-d800760bcda44670adaf7764cfdcbcf9?pvs=21),Not started,오후,,
꼭꼭FIT 관련 과제 내용과 AI 통합,"December 23, 2025",김은향,"November 26, 2025 1:23 AM",꼭꼭FIT 과제 내용과 AI 기능을 연동하여 자동 피드백/추천이 가능하도록 통합,,"December 16, 2025 11:25 PM",High,Yes,진행 중,[와디즈] 12주 코칭 습관팩 런칭 (https://www.notion.so/12-d800760bcda44670adaf7764cfdcbcf9?pvs=21),Not started,,,
꼭꼭FIT 페이지 UI 업데이트,"December 20, 2025",김은향,"November 26, 2025 1:23 AM",꼭꼭FIT 전반 페이지 UI를 12주 코칭 습관팩 런칭에 맞춰 업데이트,,"December 16, 2025 11:25 PM",High,Yes,진행 중,[와디즈] 12주 코칭 습관팩 런칭 (https://www.notion.so/12-d800760bcda44670adaf7764cfdcbcf9?pvs=21),Not started,,,
꼭꼭FIT 강의 페이지 + 과제 페이지 만들기,"December 25, 2025",김은향,"November 26, 2025 1:23 AM",12주 코칭 습관팩용 꼭꼭FIT 강의 페이지 및 각 주차 과제 페이지 신규 생성,,"December 16, 2025 11:25 PM",High,Yes,진행 중,[와디즈] 12주 코칭 습관팩 런칭 (https://www.notion.so/12-d800760bcda44670adaf7764cfdcbcf9?pvs=21),Not started,,,
소통협력센터 발표용 PPT 1차 제작,"November 26, 2025","김은향, 한명학","November 26, 2025 1:56 AM",2026 사무실 구하기 안을 바탕으로 소통협력센터 발표용 PPT 1차 초안 제작,,"December 7, 2025 3:46 PM",High,No,,2026 사무실 구하기 (https://www.notion.so/2026-2b36a363106a8048aad1fce4d50cab05?pvs=21),Done,오후,,
발표 리허설 및 피드백 반영,"November 27, 2025",김은향,"November 26, 2025 1:56 AM","발표 리허설 진행 후, PPT와 대본을 다듬고 최종본 확정",,"December 7, 2025 11:09 PM",High,No,,2026 사무실 구하기 (https://www.notion.so/2026-2b36a363106a8048aad1fce4d50cab05?pvs=21),Done,오후,,
발표 대본 작성,"November 26, 2025",한명학,"November 26, 2025 1:56 AM",소통협력센터 발표 평가(11월 27일 13시)용 상세 발표 스크립트 작성,,"December 7, 2025 11:09 PM",High,No,,2026 사무실 구하기 (https://www.notion.so/2026-2b36a363106a8048aad1fce4d50cab05?pvs=21),Done,오후,,
발표 대본 1차 작성,"November 30, 2025",김은향,"November 26, 2025 2:01 AM",15분 발표 + 7~8분 질의응답을 기준으로 발표 스크립트 1차 작성,,"December 7, 2025 3:46 PM",High,No,,,Done,오후,,
최종발표 PPT 초안 제작,"November 29, 2025",김은향,"November 26, 2025 2:01 AM",목차에 맞춰 25페이지 이내 PPT 초안 작성,,"December 7, 2025 3:46 PM",High,No,,,Done,오후,,
PPT/대본 다듬기 및 최종본 확정,"December 1, 2025",김은향,"November 26, 2025 2:01 AM",피드백을 반영해 PPT와 발표 대본 최종본 확정 및 PDF 변환,,"December 2, 2025 12:53 AM",High,No,,,Done,,,
청년창업사관학교 최종발표 PPT 구조 설계,"November 28, 2025",김은향,"November 26, 2025 2:01 AM",제공된 평가 목차(1~14항목)를 기준으로 전체 슬라이드 구조 및 스토리라인 설계,,"November 30, 2025 1:58 PM",High,No,,,Done,,,
12-month 실행 계획(숫자 기반) 정리,,김은향,"November 26, 2025 2:07 AM",향후 6~12개월 동안의 구체적인 숫자·목표·액션 아이템을 정리해서 로드맵 슬라이드/문서로 만들 준비,,"December 9, 2025 4:24 PM",High,No,,,Done,오후,,
